class   code	description
icd9procs	02.14	脉络丛切除术
icd9procs	02.2	脑室切开术
icd9procs	02.21	脑室外引流[EVD]装置置入或置换
icd9procs	02.22	颅内脑室分流或吻合术
icd9procs	02.3	颅外脑室分流术
icd9procs	02.31	脑室分流术至头和颈部结构
icd9procs	02.32	脑室分流至循环系统
icd9procs	02.33	脑室分流至胸腔
icd9procs	02.34	脑室分流术至腹腔和腹部器官
icd9procs	02.35	脑室分流至泌尿系统
icd9procs	02.39	脑室颅外分流术NEC
icd9procs	02.4	脑室分流管的修复术、去除术和冲洗术
icd9procs	02.41	脑室分流管的冲洗术和探查术
icd9procs	02.42	脑室分流管置换术
icd9procs	02.43	脑室分流管去除术
icd9procs	02.9	颅、脑和脑膜的其他手术
icd9procs	02.9	颅、脑和脑膜的其他手术
icd9procs	02.91	大脑皮层粘连松解术
icd9procs	02.92	脑修补术
icd9procs	02.93	颅内神经刺激器导线植入或置换术
icd9procs	02.93	颅内神经刺激器导线植入或置换术
icd9procs	02.94	颅钳或环状钳牵引装置的置入或置换
icd9procs	02.95	颅钳或环状钳牵引装置去除
icd9procs	02.96	蝶骨电极置入
icd9procs	02.99	颅、脑和脑膜的其他手术
icd9procs	03	脊髓和椎管结构的手术
icd9procs	03.0	椎管结构探查术和减压术
icd9procs	03.0	椎管结构探查术和减压术
icd9procs	03.01	去除椎管异物
icd9procs	03.02	椎板切除术部位再切开
icd9procs	03.09	椎管其他探查术和减压术
icd9procs	03.09	椎管其他探查术和减压术
icd9procs	03.1	脊髓内神经根切断
icd9procs	03.2	脊髓(前侧柱)切断术
icd9procs	03.21	经皮的脊髓(前侧柱)切断术
icd9procs	03.29	其他脊髓(前侧柱)切断术
icd9procs	03.3	脊髓和椎管结构的诊断性操作
icd9procs	03.31	脊髓放液
icd9procs	03.32	脊髓或脊膜活组织检查
icd9procs	03.39	脊髓和椎管结构的其他诊断性操作
icd9procs	03.4	脊髓或脊髓膜病损的切除术或破坏术
icd9procs	03.5	脊髓结构的整形手术
icd9procs	03.51	脊膜膨出修补术
icd9procs	03.52	脊髓脊膜膨出修补术
icd9procs	03.53	脊椎骨折修补术
icd9procs	03.59	脊髓结构的其他修补术和成形术
icd9procs	03.6	脊髓和神经根粘连的松解术
icd9procs	03.7	脊髓膜分流术
icd9procs	03.71	脊髓蛛网膜下-腹腔分流术
icd9procs	03.72	脊髓蛛网膜下-输尿管分流术
icd9procs	03.79	脊髓膜其他分流
icd9procs	03.8	椎管内破坏性药物注射
icd9procs	03.9	脊髓和椎管结构其他手术
icd9procs	03.9	脊髓和椎管结构其他手术
icd9procs	03.90	椎管的导管置入,为治疗性或姑息治疗性药物的输注
icd9procs	03.91	为镇痛的椎管麻醉药注射
icd9procs	03.92	椎管其他药物的注射
icd9procs	03.93	脊髓神经刺激器导线置入或置换
icd9procs	03.93	脊髓神经刺激器导线置入或置换
icd9procs	03.94	去除脊髓神经刺激器导线
icd9procs	03.94	去除脊髓神经刺激器导线
icd9procs	03.95	脊髓血块补片
icd9procs	03.96	经皮的椎骨关节面去神经术
icd9procs	03.97	脊髓膜分流术的修复术
icd9procs	03.98	去除脊髓膜分流术
icd9procs	03.99	脊髓和椎管结构其他手术
icd9procs	04	颅神经和周围神经的手术
icd9procs	04.0	颅和周围神经切开术、切断术和切除术
icd9procs	04.0	颅和周围神经切开术、切断术和切除术
icd9procs	04.01	听神经瘤切除术
icd9procs	04.02	切断三叉神经
icd9procs	04.02	切断三叉神经
icd9procs	04.03	其他颅的和周围神经切断术或压轧术
icd9procs	04.03	其他颅的和周围神经切断术或压轧术
icd9procs	04.04	颅和周围神经的其他切开术
icd9procs	04.04	颅和周围神经的其他切开术
icd9procs	04.05	半月神经节切除术
icd9procs	04.06	其他颅或周围神经节切除术
icd9procs	04.07	颅和周围神经的其他切除术或撕脱术
icd9procs	04.07	颅和周围神经的其他切除术或撕脱术
icd9procs	04.1	周围神经系统的诊断性操作
icd9procs	04.11	闭合性[经皮][针吸]颅或周围神经或神经节的活组织检查
icd9procs	04.12	开放性颅或周围神经或神经节的活组织检查
icd9procs	04.19	颅和周围神经和神经节的其他诊断性操作
icd9procs	04.2	颅和周围神经的破坏术
icd9procs	04.3	颅和周围神经的缝合术
icd9procs	04.3	颅和周围神经的缝合术
icd9procs	04.4	颅和周围神经粘连的松解术和减压术
icd9procs	04.4	颅和周围神经粘连的松解术和减压术
icd9procs	04.41	三叉神经根的减压术
icd9procs	04.42	其他脑神经减压术
icd9procs	04.43	腕管松解术
icd9procs	04.44	跗管松解术
icd9procs	04.49	其他周围神经或神经节粘连的减压术或松解术
icd9procs	04.49	其他周围神经或神经节粘连的减压术或松解术
icd9procs	04.5	颅或周围神经移植术
icd9procs	04.5	颅或周围神经移植术
icd9procs	04.6	颅和周围神经的移位术
icd9procs	04.7	其他颅或周围神经成形术
icd9procs	04.7	其他颅或周围神经成形术
icd9procs	04.71	舌下神经-面神经吻合术
icd9procs	04.72	副神经-面神经吻合术
icd9procs	04.73	副神经-舌下神经吻合术
icd9procs	04.74	颅或周围神经的其他吻合术
icd9procs	04.74	颅或周围神经的其他吻合术
icd9procs	04.75	颅和周围神经以前修补术的修复术
icd9procs	04.75	颅和周围神经以前修补术的修复术
icd9procs	04.76	颅和周围神经陈旧性创伤的修补术
icd9procs	04.76	颅和周围神经陈旧性创伤的修补术
icd9procs	04.79	其他神经成形术
icd9procs	04.8	周围神经注射
icd9procs	04.80	周围神经注射NOS
icd9procs	04.81	周围神经麻醉剂注射,为了镇痛
icd9procs	04.89	其他物质注射,除外神经破坏药
icd9procs	04.9	颅和周围神经的其他手术
icd9procs	04.9	颅和周围神经的其他手术
icd9procs	04.91	神经牵伸术
icd9procs	04.92	周围神经刺激器导线的置入或置换
icd9procs	04.92	周围神经刺激器导线的置入或置换
icd9procs	04.93	去除周围神经刺激器导线
icd9procs	04.99	颅和周围神经的其他手术
icd9procs	05	交感神经或神经节的手术
icd9procs	05.0	交感神经或神经节的切断术
icd9procs	05.1	交感神经或神经节的诊断性操作
icd9procs	05.11	交感神经或神经节的活组织检查
icd9procs	05.19	交感神经或神经节的其他诊断性操作
icd9procs	05.2	交感神经切除术
icd9procs	05.2	交感神经切除术
icd9procs	05.21	蝶腭神经节切除术
icd9procs	05.22	颈交感神经切除术
icd9procs	05.22	颈交感神经切除术
icd9procs	05.23	腰交感神经切除术
icd9procs	05.23	腰交感神经切除术
icd9procs	05.24	骶前交感神经切除术
icd9procs	05.25	动脉周围交感神经切除术
icd9procs	05.29	其他交感神经切除术和神经节切除术
icd9procs	05.3	交感神经或神经节注射
icd9procs	05.3	交感神经或神经节注射
icd9procs	05.31	麻醉药交感神经注射,为了镇痛
icd9procs	05.31	麻醉药交感神经注射,为了镇痛
icd9procs	05.32	神经破坏药交感神经注射
icd9procs	05.39	交感神经或神经节的其他注射
icd9procs	05.8	交感神经或神经节的其他手术
icd9procs	05.81	交感神经或神经节的修补术
icd9procs	05.89	交感神经或神经节的其他手术
icd9procs	05.9	神经系统的其他手术
icd9procs	06	甲状腺和甲状旁腺的手术
icd9procs	06.0	甲状腺区切开术
icd9procs	06.0	甲状腺区切开术
icd9procs	06.01	甲状腺区抽吸
icd9procs	06.02	甲状腺区伤口的再切开
icd9procs	06.09	甲状腺区的其他切开术
icd9procs	06.09	甲状腺区的其他切开术
icd9procs	06.1	甲状腺和甲状旁腺的诊断性操作
icd9procs	06.11	闭合性[经皮][针吸]甲状腺活组织检查
icd9procs	06.12	开放性甲状腺活组织检查
icd9procs	06.13	甲状旁腺活组织检查
icd9procs	06.19	甲状腺和甲状旁腺的其他诊断性操作
icd9procs	06.2	单侧甲状腺叶切除术
icd9procs	06.3	其他部分甲状腺切除术
icd9procs	06.31	甲状腺病损切除术
icd9procs	06.39	其他部分甲状腺切除术
icd9procs	06.4	甲状腺全部切除术
icd9procs	06.5	胸骨下甲状腺切除术
icd9procs	06.5	胸骨下甲状腺切除术
icd9procs	06.50	胸骨下甲状腺切除术NOS
icd9procs	06.51	胸骨下甲状腺部分切除术
icd9procs	06.51	胸骨下甲状腺部分切除术
icd9procs	06.52	胸骨下甲状腺全部切除术
icd9procs	06.6	舌部甲状腺切除术
icd9procs	06.7	甲状舌管切除术
icd9procs	06.8	甲状旁腺切除术
icd9procs	06.8	甲状旁腺切除术
icd9procs	06.81	甲状旁腺全部切除术
icd9procs	06.89	其他甲状旁腺切除术
icd9procs	06.89	其他甲状旁腺切除术
icd9procs	06.9	甲状腺(区)和甲状旁腺的其他手术
icd9procs	06.91	切断甲状腺峡部
icd9procs	06.92	甲状腺血管结扎术
icd9procs	06.93	甲状腺缝合术
icd9procs	06.94	甲状腺组织再植入
icd9procs	06.95	甲状旁腺组织再植入
icd9procs	06.98	甲状腺其他手术
icd9procs	06.99	甲状旁腺其他手术
icd9procs	07	其他内分泌腺手术
icd9procs	07.0	肾上腺区探查术
icd9procs	07.00	肾上腺区探查术NOS
icd9procs	07.01	单侧肾上腺区探查术
icd9procs	07.02	双侧肾上腺区探查术
icd9procs	07.1	肾上腺,垂体腺、松果腺和胸腺的诊断性操作
icd9procs	07.11	闭合性[经皮][针吸]肾上腺活组织检查
icd9procs	07.12	开放性肾上腺活组织检查
icd9procs	07.13	垂体腺活组织检查,经前额入路
icd9procs	07.14	垂体腺活组织检查,经蝶骨入路
icd9procs	07.15	垂体腺活组织检查,未特指入路
icd9procs	07.16	胸腺活组织检查
icd9procs	07.17	松果腺活组织检查
icd9procs	07.19	肾上腺、垂体腺、松果腺和胸腺的其他诊断性操作
icd9procs	07.2	部分肾上腺切除术
icd9procs	07.21	肾上腺病损切除术
icd9procs	07.22	单侧肾上腺切除术
icd9procs	07.29	其他部分肾上腺切除术
icd9procs	07.3	双侧肾上腺切除术
icd9procs	07.4	肾上腺、神经和血管其他手术
icd9procs	07.4	肾上腺、神经和血管其他手术
icd9procs	07.41	肾上腺切开术
icd9procs	07.42	肾上腺神经切断
icd9procs	07.43	肾上腺血管结扎术
icd9procs	07.44	肾上腺修补术
icd9procs	07.45	肾上腺组织再植入
icd9procs	07.49	肾上腺、神经和血管其他手术
icd9procs	07.49	肾上腺、神经和血管其他手术
icd9procs	07.5	松果腺手术
icd9procs	07.51	松果腺区探查术
icd9procs	07.52	松果腺切开术
icd9procs	07.53	松果腺部分切除术
icd9procs	07.54	松果腺全部切除术
icd9procs	07.59	松果腺其他手术
icd9procs	07.6	垂体切除术
icd9procs	07.61	垂体腺部分切除术,经前额入路
icd9procs	07.62	垂体腺部分切除术,经蝶骨入路
icd9procs	07.63	垂体腺部分切除术,未特指入路
icd9procs	07.64	垂体腺全部切除术,经前额入路
icd9procs	07.65	垂体腺全部切除术,经蝶骨入路
icd9procs	07.68	垂体腺全部切除术,其他特指入路
icd9procs	07.69	垂体腺全部切除术,未特指入路
icd9procs	07.7	垂体其他手术
icd9procs	07.71	垂体窝探查术
icd9procs	07.72	垂体腺切开术
icd9procs	07.79	垂体其他手术
icd9procs	07.8	胸腺切除术
icd9procs	07.80	胸腺切除术NOS
icd9procs	07.81	胸腺部分切除术
icd9procs	07.82	胸腺其他全部切除术
icd9procs	07.83	胸腔镜下胸腺部分切除术
icd9procs	07.84	胸腔镜下胸腺全部切除术
icd9procs	07.9	胸腺其他手术
icd9procs	07.91	胸腺区探查术
icd9procs	07.92	胸腺其他切开术
icd9procs	07.93	胸腺修补术
icd9procs	07.94	胸腺移植术
icd9procs	07.95	胸腔镜下胸腺切开术
icd9procs	07.98	胸腺其他和未特指的胸腔镜手术
icd9procs	07.99	其他和未特指的胸腺手术
icd9procs	08	眼睑手术
icd9procs	08.0	眼睑切开术
icd9procs	08.01	睑缘切开术
icd9procs	08.02	睑缝合后切开术
icd9procs	08.09	眼睑其他切开术
icd9procs	08.1	眼睑诊断性操作
icd9procs	08.11	眼睑活组织检查
icd9procs	08.19	眼睑其他诊断性操作
icd9procs	08.2	眼睑病损或组织切除术或破坏术
icd9procs	08.20	去除眼睑病损NOS
icd9procs	08.21	睑板腺囊肿切除术
icd9procs	08.22	眼睑其他较小的病损切除术
icd9procs	08.23	眼睑较大病损切除术,板层
icd9procs	08.24	眼睑较大病损切除术,全层
icd9procs	08.25	眼睑病损破坏术
icd9procs	08.3	上睑下垂和睑退缩的修补术
icd9procs	08.31	上睑下垂修补术,用额肌法伴缝合术
icd9procs	08.32	上睑下垂修补术,用额肌法伴筋膜吊带法
icd9procs	08.33	上睑下垂修补术,用部分切除术或上睑肌或腱膜前徙
icd9procs	08.34	上睑下垂修补术,用其他提上睑肌法
icd9procs	08.35	上睑下垂修补术,用睑板法
icd9procs	08.36	上睑下垂修补术,用其他方法
icd9procs	08.37	上睑下垂矫正过度复位术
icd9procs	08.38	睑退缩矫正术
icd9procs	08.4	睑内翻或睑外翻修补术
icd9procs	08.41	睑内翻或睑外翻修补术,用热灼法
icd9procs	08.42	睑内翻或睑外翻修补术,用缝合术法
icd9procs	08.43	睑内翻或睑外翻修补术伴楔形部分切除术
icd9procs	08.44	睑内翻或睑外翻修补术伴睑重建术
icd9procs	08.49	睑内翻或睑外翻其他修补术
icd9procs	08.5	其他眼睑位置调整术
icd9procs	08.51	眦切开术
icd9procs	08.52	睑缝合术
icd9procs	08.59	其他眼睑位置调整术
icd9procs	08.6	用皮瓣或移植的眼睑重建术
icd9procs	08.6	用皮瓣或移植的眼睑重建术
icd9procs	08.61	用皮瓣或移植物的眼睑重建术
icd9procs	08.61	用皮瓣或移植物的眼睑重建术
icd9procs	08.62	用黏膜瓣或移植物的眼睑重建术
icd9procs	08.63	用毛囊移植片的眼睑重建术
icd9procs	08.63	用毛囊移植片的眼睑重建术
icd9procs	08.64	用结膜睑板移植片的眼睑重建术
icd9procs	08.69	用皮瓣或移植物的其他眼睑重建术
icd9procs	08.7	其他眼睑重建术
icd9procs	08.70	眼睑重建术NOS
icd9procs	08.71	涉及睑缘，板层的眼睑重建术
icd9procs	08.72	其他板层的眼睑重建术
icd9procs	08.73	涉及睑缘全层的眼睑重建术
icd9procs	08.74	其他全层眼睑重建术
icd9procs	08.8	眼睑其他修补术
icd9procs	08.8	眼睑其他修补术
icd9procs	08.81	眼睑或眉裂伤的线形修补术
icd9procs	08.82	涉及睑缘板层裂伤的修补术
icd9procs	08.83	眼睑板层裂伤的其他修补术
icd9procs	08.84	涉及睑缘全层裂伤的修补术
icd9procs	08.85	眼睑全层裂伤的其他修补术
icd9procs	08.86	下眼睑皱纹切除术
icd9procs	08.87	上眼睑皱纹切除术
icd9procs	08.89	其他眼睑修补术
icd9procs	08.89	其他眼睑修补术
icd9procs	08.9	眼睑其他手术
icd9procs	08.9	眼睑其他手术
icd9procs	08.91	电子外科眼睑拔睫毛术
icd9procs	08.91	电子外科眼睑拔睫毛术
icd9procs	08.92	冷冻外科眼睑拔睫毛术
icd9procs	08.93	其他眼睑拔睫毛术
icd9procs	08.99	眼睑其他手术
icd9procs	09	泪器系统手术
icd9procs	09.0	泪腺切开术
icd9procs	09.1	泪器系统诊断性操作
icd9procs	09.11	泪腺活组织检查
icd9procs	09.12	泪囊活组织检查
icd9procs	09.19	泪器系统其他诊断性操作
icd9procs	09.2	泪腺病损或组织切除术
icd9procs	09.20	泪腺切除术NOS
icd9procs	09.21	泪腺病损切除术
icd9procs	09.22	其他部分泪腺切除术
icd9procs	09.23	全部泪腺切除术
icd9procs	09.3	泪腺其他手术
icd9procs	09.4	泪道操作
icd9procs	09.4	泪道操作
icd9procs	09.41	泪点探通术
icd9procs	09.42	泪小管探通术
icd9procs	09.43	鼻泪管探通术
icd9procs	09.43	鼻泪管探通术
icd9procs	09.44	鼻泪管插管术
icd9procs	09.49	泪道其他操作
icd9procs	09.49	泪道其他操作
icd9procs	09.5	泪囊和泪道切开术
icd9procs	09.51	泪点切开术
icd9procs	09.52	泪小管切开术
icd9procs	09.53	泪囊切开术
icd9procs	09.59	泪道其他切开术
icd9procs	09.6	泪囊和泪道切除术
icd9procs	09.7	泪小管和泪点修补术
icd9procs	09.71	泪点外翻矫正术
icd9procs	09.72	泪点其他修补术
icd9procs	09.73	泪小管修补术
icd9procs	09.8	泪道至鼻腔的造口术
icd9procs	09.8	泪道至鼻腔的造口术
icd9procs	09.81	泪囊鼻腔造口术[DCR]
icd9procs	09.82	结膜泪囊鼻腔造口术
icd9procs	09.83	结膜鼻腔吻合术伴置入管或支架
icd9procs	09.83	结膜鼻腔吻合术伴置入管或支架
icd9procs	09.9	泪器系统其他手术
icd9procs	09.9	泪器系统其他手术
icd9procs	09.91	泪点封闭术
icd9procs	09.99	泪器系统其他手术
icd9procs	09.99	泪器系统其他手术
icd9procs	10	结膜手术
icd9procs	10.0	切开术去除嵌入结膜异物
icd9procs	10.1	结膜其他切开术
icd9procs	10.1	结膜其他切开术
icd9procs	10.2	结膜诊断性操作
icd9procs	10.21	结膜活组织检查
icd9procs	10.29	结膜其他诊断性操作
icd9procs	10.3	结膜病损或组织的切除术或破坏术
icd9procs	10.31	结膜病损或组织的切除术
icd9procs	10.32	结膜病损破坏术
icd9procs	10.33	结膜其他破坏性操作
icd9procs	10.4	结膜成形术
icd9procs	10.41	用游离移植物的睑球粘连修补术
icd9procs	10.42	用游离移植物的结膜穹窿重建术
icd9procs	10.43	结膜穹窿其他重建术
icd9procs	10.44	结膜其他游离移植物
icd9procs	10.49	其他结膜成形术
icd9procs	10.5	结膜和眼睑粘连松解术
icd9procs	10.6	结膜裂伤修补术
icd9procs	10.9	结膜其他手术
icd9procs	10.9	结膜其他手术
icd9procs	10.91	结膜下注射
icd9procs	10.99	结膜其他手术
icd9procs	10.99	结膜其他手术
icd9procs	11	角膜手术
icd9procs	11.0	磁吸法去除嵌入角膜异物
icd9procs	11.1	角膜切开术
icd9procs	11.2	角膜诊断性操作
icd9procs	11.21	刮角膜做涂片或培养
icd9procs	11.22	角膜活组织检查
icd9procs	11.29	角膜其他诊断性操作
icd9procs	11.3	胬肉切除术
icd9procs	11.31	胬肉移位术
icd9procs	11.32	胬肉切除术伴角膜移植术
icd9procs	11.39	胬肉其他切除术
icd9procs	11.4	角膜组织或其他病损的切除术或破坏术
icd9procs	11.41	机械性去除角膜上皮
icd9procs	11.42	角膜病损的热灼术
icd9procs	11.43	角膜病损的冷冻疗法
icd9procs	11.49	角膜病损的其他去除或破坏术
icd9procs	11.5	角膜修补术
icd9procs	11.51	角膜裂伤缝合术
icd9procs	11.52	角膜手术后伤口裂开修补术
icd9procs	11.53	用结膜瓣的角膜裂伤或伤口修补术
icd9procs	11.59	角膜其他修补术
icd9procs	11.6	角膜移植
icd9procs	11.60	角膜移植NOS
icd9procs	11.61	用自体移植物的板层角膜成形术
icd9procs	11.62	其他板层角膜成形术
icd9procs	11.63	用自体移植物的穿透性角膜成形术
icd9procs	11.64	其他穿透性角膜成形术
icd9procs	11.69	其他角膜移植
icd9procs	11.7	角膜其他重建术和折射手术
icd9procs	11.71	角膜磨镶术
icd9procs	11.72	角膜镜片术
icd9procs	11.73	人工角膜
icd9procs	11.74	角膜热成形术
icd9procs	11.75	放射性角膜切开术
icd9procs	11.76	表面角膜镜片术
icd9procs	11.79	角膜其他重建术和折射手术
icd9procs	11.9	角膜其他手术
icd9procs	11.9	角膜其他手术
icd9procs	11.91	角膜鲸墨法
icd9procs	11.92	去除角膜人工植入物
icd9procs	11.99	角膜其他手术
icd9procs	11.99	角膜其他手术
icd9procs	12	虹膜、睫状体、巩膜和前房的手术
icd9procs	12.0	去除眼前节眼内异物
icd9procs	12.00	去除眼前节眼内异物NOS
icd9procs	12.01	用磁吸法去除眼前节眼内异物
icd9procs	12.02	不用磁吸法的去除眼前节眼内异物
icd9procs	12.1	虹膜切开术和单纯性虹膜切除术
icd9procs	12.11	虹膜切开术伴贯穿术
icd9procs	12.12	其他虹膜切开术
icd9procs	12.13	虹膜脱出切除术
icd9procs	12.14	其他虹膜切除术
icd9procs	12.2	虹膜、睫状体、巩膜和前房诊断性操作
icd9procs	12.21	眼前房诊断性抽吸术
