大类	小类	项目
		优球蛋白溶解时间
		组织性纤溶酶原激活剂活性测定
		纤溶酶原活性测定
		纤溶酶抗纤溶酶复合物测定
		血浆硫酸鱼精蛋白副凝固试验
		凝血酶时间(TT)测定
		血清纤维蛋白(原)降解产物(FDP)试验
		D-二聚体测定
		血浆组织纤溶酶原活化物抗原检测(t-PAAg)
		其他
	血液寄生虫检查
		微丝蚴
		间日疟原虫
		恶性疟原虫
		其他
	血型血清学检查
		ABO血型鉴定
		ABO正反定型试验
		Rh血型鉴定
		弱D型鉴定
		直接抗人球蛋白试验
		间接抗人球蛋白试验
		唾液中ABH血型物质测定
		抗体吸收试验
		抗体放散试验
		聚凝胺试验
		血型抗体效价测定
		IgM血型同种抗体筛查试验
		IgG血型同种抗体筛查试验
		红细胞血型抗体鉴定
		盐水介质交叉配血试验
		抗球蛋白交叉试验
		柱凝集法交叉配血试验
		聚凝胺法交叉配血试验
		患儿及父母的ABO血型鉴定
		母亲血清中IgG抗A(B)检查
		患儿血样检查
		产妇的血清学
		婴儿的血清学检查
		其他
	其他血液学检验
		最大聚集率
		平均聚集率
		红细胞流动系数TK值
		血沉方程K值
		中性粒细胞感染指数
		血栓弹力图试验
		人类白细胞抗原B27测定(HLA-B27)
		白血病残留病灶检测
		其他
体液和排泄物检查
	尿液检查
		尿PH
		尿蛋白
		尿糖
		尿酮体
		尿隐血
		尿亚硝酸盐
		尿胆红素
		尿胆原
		尿比重
		尿白细胞
		尿维生素C
		尿本周蛋白试验
		尿肌红蛋白定性试验
		乳糜尿试验
		尿妊娠试验
		尿苯丙酮酸定性试验
		尿液渗透量测定
		尿稀释试验
		尿浓缩试验
		酚红排泄试验
		尿卵泡刺激素(LH)快速测定
		尿液草酸定量分析
		尿液枸椽酸定量分析
		尿靛甙定量分析
		尿红细胞
		尿脓细胞
		小圆上皮细胞
		上皮细胞
		颗粒管型
		脂肪管型
		蜡样管型
		肾衰竭管型
		细胞管型
		红细胞管型
		白细胞管型
		草酸钙结晶
		尿酸结晶
		非结晶性尿酸盐
		马尿酸结晶
		磷酸盐类结晶
		胆红素结晶
		胱氨酸结晶
		亮氨酸结晶
		酪氨酸结晶
		胆固醇结晶
		药物结晶
		尿细菌
		尿真菌
		尿滴虫
		尿12小时白细胞
		尿12小时管型
		尿红细胞位相
		1小时尿沉渣计数
		尿Mosenthal试验
		尿结石成份分析
		其他
	粪便的检查
		粪便颜色
		粪便性状
		粪白细胞
		粪红细胞
		粪巨噬细胞
		粪细菌
		粪真菌
		蛔虫卵
		鞭虫卵
		钩虫卵
		蛲虫卵
		绦虫卵
		粪隐血试验
		粪苏丹III染色检查
		粪胆素检查
		粪便乳糖不耐受测定
		乳糖耐受试验
		其他
	脑脊液检查
		脑脊液颜色
		透明度
		凝固性
		比重
		脑脊液蛋白定性
		脑脊液总蛋白测定
		脑脊液白蛋白测定
		脑脊液免疫球蛋白IgG测定
		脑脊液葡萄糖测定
		脑脊液氯化物测定
		脑脊液丙氨酸氨基转移酶
		脑脊液天门冬氨酸氨基转移酶
		脑脊液乳酸脱氢酶
		脑脊液肌酸激酶
		脑脊液腺苷脱氨酶
		脑脊液IgG
		脑脊液IgA
		脑脊液IgM
		脑脊液蛋白质电泳
		脑脊液红细胞计数
		脑脊液白细胞计数
		脑脊液淋巴细胞
		脑脊液单核细胞
		脑脊液中性粒细胞
		其他
	痰液的检查
		痰液量
		痰液颜色
		气味
		痰液性状
		异物
		痰液红细胞
		痰液白细胞
		痰液上皮细胞
		弹力纤维
		痰夏科-雷登结晶
		痰肺泡吞噬细胞
		痰液寄生虫
		痰嗜酸细胞计数
		其他
	支气管肺泡灌洗液检验
		肺泡灌洗液有核细胞
		肺泡吞噬细胞
		肺泡灌洗液淋巴细胞
		肺泡灌洗液中性粒细胞
		肺泡灌洗液嗜酸性粒细胞
		肺泡灌洗液细菌
		肺泡灌洗液真菌
		卡氏肺孢子虫
		肺吸虫
		肺泡灌洗液C3
		肺泡灌洗液C4
		肺泡灌洗液C3/C4
		其他
	腔膜腔积液检查
		浆膜腔积液颜色
		浆膜腔积液透明度
		凝固性
		浆膜腔积液比重酸碱度
		黏蛋白定性试验
		浆膜腔积液蛋白质定量测定
		浆膜腔积液葡萄糖测定
		浆膜腔积液乳酸脱氢酶
		浆膜腔积液腺苷脱氨酶
		浆膜腔积液淀粉酶
		浆膜腔积液红细胞
		浆膜腔积液中性粒细胞
		浆膜腔积液淋巴细胞
		浆膜腔积液嗜酸性粒细胞
		浆膜腔积液胆固醇结晶
		浆膜腔积液微丝蚴
		阿米巴滋养体
		其他
	精液及前列腺液检查
		精液外观
		精液量
		粘稠度
		液化时间
		精液酸碱度
		精子成活率
		精子活动率
		精子活动力
		IM 不活动精子率
		(PR+NP)精子总活力
		(PR+NP)活动精子总数
		(PR+NP)活动精子浓度
		NP 非前向运动精子率
		PR前向运动精子数
		PR前向运动精子浓度
		A级精子数
		A级精子密度
		A级精子总数
		A级精子百分比
		B级精子数
		B级精子密度
		B级精子总数
		B级精子百分比
		C级精子数
		C级精子密度
		C级精子总数
		C级精子百分比
		D级精子数
		D级精子密度
		D级精子总数
		A+B级精子数
		D级精子百分比
		A+B级精子密度
		A+B级精子总数
		A+B级精子百分比
		A+B+C级精子数
		A+B+C级精子密度
		A+B+C级精子总数
		A+B+C级精子百分比
		曲线速度VCL[μm/s]
		直线速度VSL[μm/s]
		平均路径速度VAP[μm/s]
		平均移动角度MAD(°)
		侧摆幅度ALH[μm]
		鞭打频率
		直线性LIN
		摆动型WOB
		前向型STR
		呈快速直线运动精子活率
		路径速度
		线性度
		平均移动角度
		直线运动精子活率
		直线运动精子密度
		直线运动精子数
		路径速度VAP
		精子颈部畸形
		精子头部畸形
		混合畸形
		精子顶体酶测定
		精浆弹性硬蛋白酶测定
		精液乳酸脱氢酶测定
		精液锌测定
		精液柠檬酸测定
		精子膜表面抗体测定
		精子凝集素受体检测
		精液酸性磷酸酶测定
		精液果糖测定
		精液α-葡萄糖苷酶测定
		精子低渗膨胀试验
		前列腺液量
		前列腺液颜色
		前列腺液透明度
		前列腺液酸碱度
		卵磷脂小体
		前列腺液白细胞
		前列腺液红细胞
		前列腺颗粒细胞
		前列腺液淀粉样小体
		前列腺小体外泄蛋白测定
		其他
	阴道分泌物检查
		白带外观
		白带透明度
		阴道分泌物酸碱度
		过氧化氢
		阴道清洁度
		白细胞酯酶
		唾液酸苷酶
		β葡萄糖醛酸酶
		乙酰氨葡萄糖苷酶
		阴道分泌物滴虫
		阴道分泌物真菌
		线索细胞
		其他
	其他体液和排泄物检查
		其他
临床生物化学检验
	糖代谢测定
		餐后半小时葡萄糖(0.5h)
		餐后1小时葡萄糖(1h)
		餐后2小时葡萄糖(2h)
		餐后3小时葡萄糖(3h)
		餐后4小时葡萄糖(4h)
		糖化血红蛋白测定(免疫比浊法)
		糖化血红蛋白测定(髙效液相色谱法)
		糖化血清蛋白测定(果糖胺法)
		糖化血清蛋白测定(氧化酶法)
		血清葡萄糖测定
		血清胰岛素0.5h
		血清胰岛素1h
		血清胰岛素2h
		血清胰岛素3h
		血清胰岛素4h
		血清C肽
		血清C肽(0.5h)
		血清C肽(1.0h)
		血清C肽(2.0h)
		血清C肽(3.0h)
		血清C肽(4.0h)
		血浆乳酸测定
		血浆丙酮酸测定
		血清β-羟丁酸测定
		胰岛素样生长因子-I测定
		其他
	蛋白质检验
		血清总蛋白测定
		血清白蛋白测定
		血清球蛋白
		白蛋白/球蛋白比值
		血清蛋白电泳(醋纤维素膜电泳)
		血清蛋白电泳(琼脂糖凝胶电泳)
		血清蛋白电泳(毛细管区带电泳)
		血清前白蛋白测定
		血清α1-抗胰蛋白酶测定
		血清α1微球蛋白测定
		血清α2-巨球蛋白测定
		血清α1-淀粉样蛋白测定
		血清视黄醇结合蛋白测定
		血清妊娠相关蛋白A测定
		血清β2-微球蛋白测定
		血清层粘连蛋白测定
		血清纤维连接蛋白测定
		尿总蛋白测定
		尿蛋白电泳
		尿转铁蛋白测定
		尿胰蛋白酶原-2检测
		尿α1微球蛋白测定
		尿β2微球蛋白测定
		尿白蛋白测定(染料结合法)
		尿白蛋白测定(透射比浊法)
		尿白蛋白测定(散射比浊法)
		尿微量白蛋白
		尿视黄醇结合蛋白测定
		铜蓝蛋白测定
		免疫固定电泳
		粪便钙卫蛋白检测
		其他
	血清无机离子微量元素测定
		血清钠测定
		血清钾测定
		血清氯化物测定
		血清离子钙测定
		血清无机磷测定
		血清镁测定
		血清锌测定
		血清铜测定
		全血铅测定
		血一氧化碳分析
		血浆二氧化碳测定
		血浆阴离子间隙计算
		25羟维生素D测定
		尿液纳测定
		尿液钾测定
		尿液氯化物测定
		尿液钙测定
		尿液无机磷测定
		其他
	血清药物浓度测定
		FK506(普乐可复)
		雷帕霉素
		环孢霉素
		霉酚酸
		其他
	血清酶测定
		血清丙氨酸氨基转移酶测定
		血清天门冬氨酸氨基转移酶测定
		血清天门冬氨酸氨基转移酶同工酶测定
		血清碱性磷酸酶测定
		血清碱性磷酸同工酶测定
		血清酸性磷酸酶测定
		血清乳酸脱氢酶测定
		血清α-羟丁酸脱氢酶测定
		血清L-γ-谷氨酰基转移酶测定
		血清L-γ-谷氨酰基转移酶同工酶测定
		血清肌酸激酶测定
		血清肌酸激酶同工酶测定
		血清淀粉酶测定
		血清淀粉酶同工酶测定
		血清胆碱酯酶测定
		血清腺苷脱氨酶测定
		血清脂肪酶测定
		血清单胺氧化酶测定
		血清5’-核苷酸酶测定
		血清α-L岩藻糖苷酶测定
		血清醛缩酶测定
		血清铜氧化酶测定
		血清磷酸己糖异构酶测定
		血清鸟氨酸基甲酰转换酶测定
		血管紧张素转换酶
		血清亮氨酸氨基肽酶测定
		血清酒石酸抑制酸性磷酸酶测定
		血清骨钙素测定
		血清透明质酸酶测定
		血清谷氨酸脱氢酶测定
		乳酸脱氢酶同工酶测定
		β-N-乙酰氨基葡萄糖苷酶测定
		超氧化物歧化酶(SOD)测定
		抗磷脂酶A2受体抗体检测
		髓过氧化物酶测定
		尿β-D-半乳糖苷酶测定
		尿γ-谷氨酰转移酶测定
		尿丙氨酰氨基肽酶
		尿亮氨酰氨基肽酶
		尿碱性磷酸酶测定
		其他
	胆色素、胆汁酸检验
		血清总胆红素测定
		血清δ胆红素检查
		血清Ⅳ型胶原测定
		血清Ⅲ型胶原测定
		直接胆红素测定
		血浆氨测定
		胆汁酸测定
		甘胆酸(CG)检测
		其他
	血清非蛋白含氮化合物检验
		血清尿素测定
		血清肌酐测定
		血清尿酸测定
		血清胱抑素C测定
		尿液尿素测定
		尿液肌酐测定
		尿尿酸测定
		尿微量白蛋白/尿肌酐
		其他
	血脂类及脂蛋白检验
		血清总胆固醇测定
		血清三酰甘油测定
		血清载脂蛋白A测定
		血清载脂蛋白B测定
		高密度脂蛋白胆固醇测定
		低密度脂蛋白胆固醇测定
		脂蛋白(a)测定
		脂蛋白电泳
		其他
	血气及PH的测定
		氧分压
		氧饱和度
		脱氧血红蛋白
		氧合血红蛋白
		高铁血红蛋白
		碳氧血红蛋白
		血气酸碱度
		二氧化碳分压
		二氧化碳总量
		实际碳酸氢盐
		标准碳酸氢盐
		阴离子间隙
		缓冲碱
		血一氧化碳分析
		其他
	激素检验
		促黄体素测定
		卵泡刺激素测定
		泌乳素测定
		促甲状腺激素测定
		生长激素测定
		三碘甲状腺原氨酸测定
		甲状腺素测定
		游离三碘甲状腺原氨酸测定
		游离甲状腺素测定
		甲状腺球蛋白
		甲状腺球蛋白抗体测定
		甲状腺过氧化物酶抗体测定
		促甲状腺素受体抗体测定
		甲状腺素摄取试验
		血瘦素(HLT)
		睾酮测定
		血清双氢睾酮测定
		雌酮测定
		雌二醇测定
		游离型雌三醇测定
		孕酮测定
		17α羟孕酮测定
		人绒毛膜促性腺激素测定
		硫酸脱氢表雄酮测定
		甲状旁腺激素测定
		降钙素测定
		皮质醇测定
		促肾上腺皮质激素测定
		尿17-酮类固醇测定
		尿17-羟皮质类固醇测定
		甲氧基肾上腺素和甲氧基去甲肾上腺素测定
		肾素测定
		尿儿茶酚胺测定
		尿液香草醛苦杏仁酸测定
		血清蛋白结合碘测定
		血浆皮质醇测定
		尿磷苯二酚胺测定
		尿5羟吲哚醋酸测定
		抗利尿激素测定
		胆囊收缩素测定
		心纳素测定
		血清肌钙蛋白T测定
		血清肌钙蛋白Ⅰ测定
		血清肌红蛋白测定
		人血浆脂蛋白相关磷脂酶A2(Lp-PLA2)测定
		血清肌酸激酶同工酶质量测定
		血清心脏型脂肪酸结合蛋白测定
		血清氨基末端-B型利钠肽前体测定
		血清B型利钠肽测定
		血清缺血修饰白蛋白测定
		血清同型半胱氨酸测定
		其他
	其他临床生物化学检验
		其他
临床免疫学检验
	细胞免疫功能
		中性粒细胞趋化功能试验
		中性粒细胞黏附功能试验
		硝基四氮唑蓝还原试验
		白细胞粘附抑制试验
		白细胞杀菌功能试验
		白细胞吞噬功能试验
		巨噬细胞吞噬功能试验
		自然杀伤细胞(NK)活性测定
		自然杀伤细胞(NK)绝对计数
		T细胞(CD3)测定
		辅助性T细胞(CD4)测定
		抑制性T细胞(CD8)测定
		辅助性T细胞/抑制性T细胞(CD4/CD8)
		淋巴细胞功能亚群(Th1/Th2)细胞检测
		混合淋巴细胞培养
		淋巴细胞转化试验
		T细胞花环试验
		B细胞测定
		外周血白细胞促凝血活性测定
		K细胞活性测定
		溶菌酶测定
		C反应蛋白测定
		高敏C反应蛋白测定(hs-CRP)
		血清淀粉样蛋白测定
		白细胞介素-2(IL-2)检测
		白细胞介素-4(IL-4)检测
		白细胞介素-6(IL-6)检测
		白细胞介素-10(IL-10)检测
		白细胞介素-17(IL-17)检测
		干扰素-Y检测
		可溶性白细胞介素-2检测
		转化生长因子-β检测
		肿瘤坏死因子-α检测
		其他
	体液免疫
		IgG检测
		IgA检测
		IgM检测
		IgG1检测
		IgG2检测
		IgG3检测
		IgG4检测
		IgD检测
		总IgE检测
		特异性IgE检测
		游离轻链K
		游离轻链λ
		游离轻链K/游离轻链λ
		冷球蛋白检测
		M蛋白检测
		循坏免疫复合物(CIC)检测
		补体旁路途径溶血活性(AH50)检测
		补体C3检测
		补体C4检测
		补体C1q检测
		B因子测定
		其他
	感染性疾病免疫学检查
		抗HAVIgG检测
		抗HAVIgM检测
		HBSAg检测
		HBSAb检测
		HBeAg检测
		HBeAb检测
		HBcAb检测
		抗HBcIgM检测
		HCVIgG检测
		HCV抗原-抗体联合检测
		HCV核心抗原检测
		抗HDVIgM检测
		抗HDVIgG检测
		抗HEVIgM检测
		抗HEVIgG检测
		抗HIV(1+2)检测
		人类免疫缺陷病毒检测
		人类免疫缺陷病毒-1p24抗原检测
		人类免疫缺陷病毒抗原-抗体联合检测
		梅毒特异性抗体检测
		甲苯胺红不加热试验(TRUST)
		快速血浆反应试验(RPR)
		梅毒非特异性抗体检测
		弓形虫IgG检测
		弓形虫IgA检测
		弓形虫特异IgG抗体亲合力检测
		抗HCMV和IgG亲合力检测
		CMVpp65抗原检测
		单纯疱疹病毒免疫检测
		风疹病毒免疫检测
		流行性出血热病毒抗体测定
		狂犬病毒抗体测定
		流感病毒抗原检测
		流感病毒抗体检测
		副流感病毒抗原检测
		副流感病毒抗体检测
		腺病毒抗原检测
		腺病毒抗体检测
		腮腺炎病毒抗原检测
		腮腺炎病毒抗体检测
		呼吸道合胞病毒抗原检测
		呼吸道合胞病毒抗体检测
		腺病毒抗原检测
		腺病毒抗体检测
		麻疹病毒抗原检测
		麻疹病毒IgG抗体检测
		麻疹病毒IgM抗体检测
		抗SARS病毒抗体检测
		脊髓灰质炎病毒检测
		柯萨奇病毒检测
		肠道病毒71型检测
		埃可病毒检测检测
		轮状病毒检测
		登革病毒检测
		人乳头瘤病毒检测
		EB病毒VCAIgA抗体检测
		EB病毒VCAIgG抗体检测
		EB病毒VCAIgM抗体检测
		EB病毒EAIgG抗体检测
		结核分支杆菌免疫检查
		幽门螺杆菌免疫检测
		13碳尿素呼气试验
		幽门螺杆菌粪便抗原检查
		沙眼衣原体检测
		肺炎衣原体检测
		肺炎支原体检测
		分泌物支原体检查
		立克次体检测(外-斐反应)OX2
		立克次体检测(外-斐反应)OX19
		立克次体检测(外-斐反应)OXK
		立克次体检测(免疫荧光法)
		伤寒和副伤寒检测(肥达反应)O凝集
		伤寒和副伤寒检测(肥达反应)H凝集
		伤寒和副伤寒检测(肥达反应)A凝集
		伤寒和副伤寒检测(肥达反应)B凝集
		伤寒和副伤寒检测(肥达反应)C凝集
		布鲁菌检测
		军团菌检测
		抗链球菌溶血素“O"检测
		念珠菌病血清学试验
		曲霉菌血清学试验
		新型隐球菌荚膜抗原测定
		孢子丝菌血清学试验
		球孢子菌血清学试验
		降钙素原检测
		真菌D-葡聚糖检测
		真菌D-肽聚糖检测
		类风湿因子检测
		抗环瓜氨酸肽抗体检测
		抗角蛋白抗体检测
		抗核抗体检测
		抗双链DNA抗体检测
		ANA谱检测(抗SM抗体)
		ANA谱检测(抗UIRNP抗体)
		ANA谱检测(抗SSA抗体)
		ANA谱检测(抗SSB抗体)
		ANA谱检测(抗JO-1抗体)
		ANA谱检测(抗SCL-70抗体)
		ANA谱检测(抗RIB-P抗体)
		抗肝肾微粒体抗体检测
		抗平滑肌抗体检测
		抗SP-100抗体检测
		抗去唾液酸糖蛋白受体抗体检测
		抗肝细胞溶质抗原I型抗体检测
		抗中性粒细胞质抗体检测(cANCA)
		抗中性粒细胞质抗体检测(pANCA)
		抗中性粒细胞质抗体检测(PR3-ANCA)
		抗中性粒细胞质抗体检测(MPO-ANCA)
		抗C1Q抗体检测
		抗-胞衬蛋白抗体检测
		抗促甲状腺素受体抗体检测
		抗心磷脂抗体检测
		抗β-GP1抗体检测
		抗精子抗体检测
		抗子宫内膜抗体检测
		抗透明带抗体检测
		抗卵巢抗体检测
		抗乙酰胆碱受体抗体检测
		抗胰岛细胞抗体检测
		抗胰岛素抗体检测
		抗胰岛素受体抗体检测
		抗肾小球基底膜抗体检测
		抗小肠杯状细胞抗体检测
		抗胰腺腺泡抗体检测
		抗酿酒酵母抗体检测
		抗胃壁细胞抗体检测
		抗H/K-ATP酶抗体检测
		抗硬皮病抗体测定
		甲胎蛋白检测(ELISA法)
		甲胎蛋白检测(CLLA法)
		甲胎蛋白检测(ECLLA法)
		甲胎蛋白异质体检测
		癌胚抗原检测
		糖类抗原(CA19-9)检测(ELISA法)
		糖类抗原(CA19-9)检测(CLLA法)
		糖类抗原(CA19-9)检测(ECLLA法)
		糖类抗原(CA125)检测
		糖类抗原(CA15-3)检测(ELISA法)
		糖类抗原(CA15-3)检测(CLLA法)
		糖类抗原(CA15-3)检测(ECLLA法)
		糖类抗原(CA-50)检测
		糖类抗原(CA242)检测
		糖类抗原(CA72-4)检测
		神经元特异烯醇化酶检测(ELISA法)
		神经元特异烯醇化酶检测(ECLLA法)
		细胞角蛋白19片段检测
		胃泌素释放肽前体检测
		前列腺特异性抗原(T-PSA)检测
		前列腺特异性抗原(F-PSA)检测
		T-PSA/F-PSA
		肿瘤坏死因子测定(TNF)
		人绒毛膜促性腺激素检测
		鳞状上皮细胞癌抗原检测
		人表皮生长因子受体-2蛋白胞外区检测
		人附睾蛋白4检测·
		胃蛋白酶原I
		胃蛋白酶原II
		胃蛋白酶原I/胃蛋白酶原II
		胃泌素-17检测
		肿瘤异常蛋白(TAP)检测
		血清HER-2/neu蛋白检测
		吸入物变应原筛查(虫螨)
		吸入物变应原筛查(花草)
		吸入物变应原筛查(树木)
		食入物变应原筛查(牛奶)
		食入物变应原筛查(肉类)
		食入物变应原筛查(鱼虾)
		食入物变应原筛查(蔬菜)
		其他
	其他临床免疫学检验
		其他
临床微生物学检验
	显微镜涂片检查
		细菌显微镜检查
		真菌显微镜检查
		寄生虫显微镜检查
		抗酸杆菌显微镜检查
		其他
	微生物的分离鉴定
		普通细菌培养+鉴定(痰液)
		普通细菌培养+鉴定(尿液)
		普通细菌培养+鉴定(血液)
		普通细菌培养+鉴定(胸水)
		普通细菌培养+鉴定(腹水)
		普通细菌培养+鉴定(胆汁)
		普通细菌培养+鉴定(脑脊液)
		普通细菌培养+鉴定(粪便)
		普通细菌培养+鉴定(脓液)
		普通细菌培养+鉴定(分泌物)
		普通细菌培养+鉴定(组织)
		普通细菌培养+鉴定(白带)
		普通细菌培养+鉴定(其它标本)
		普通真菌培养+鉴定(痰液)
		普通真菌培养+鉴定(尿液)
		普通真菌培养+鉴定(血液)
		普通真菌培养+鉴定(胸水)
		普通真菌培养+鉴定(腹水)
		普通真菌培养+鉴定(胆汁)
		普通真菌培养+鉴定(脑脊液)
		普通真菌培养+鉴定(骨髓)
		普通真菌培养+鉴定(粪便)
		普通真菌培养+鉴定(脓液)
		普通真菌培养+鉴定(分泌物)
		普通真菌培养+鉴定(组织)
		普通真菌培养+鉴定(白带)
		普通真菌培养+鉴定(其它标本)
		厌氧菌培养+鉴定
		支原体培养+鉴定
		特殊细菌培养鉴定
		其他
	药物敏感试验
		细菌药敏试验(纸片扩散法)
		细菌药敏试验(肉汤稀释法)
		细菌药敏试验(仪器法)
		真菌药敏试验(纸片法)
		真菌药敏试验(液体稀释法)
		真菌药敏试验(E-试验)
		结核菌药敏试验(比例法)
		结核菌药敏试验(绝对浓度法)
		厌氧菌药敏试验(液体培养法)
		厌氧菌药敏试验(基因检测)
		支原体药敏试验
		其他
	其他临床微生物学检验
		其他
临床病原微生物核酸检查
	病毒核酸检查
		乙型肝炎病毒核酸PCR检查
		丙型肝炎病毒核酸RT-PCR检测
		人巨细胞病毒核酸PCR检测
		EB病毒核酸PCR检测
		单纯疱疹病毒PCR检测
		人类免疫缺陷病毒I型核酸RT-PCR检测
		流感病毒核酸RT-PCR检测
		手足口病肠道病毒核酸RT-PCR检测
		人乳头瘤病毒(HPV)核酸检测
		呼吸道合胞病毒RSV)核酸检测
		BK病毒核酸检测
		JC病毒核酸检测
		其他
	细菌核酸检测
		结核分支杆菌核酸PCR检测
		淋病奈瑟菌核酸PCR检测
		幽门螺杆菌核酸PCR检测
		肺炎支原体核酸PCR检测
		白念珠菌核酸检测
		B簇链球菌核酸检测
		沙门菌核酸检测
		志贺菌核酸检测
		其他
	病毒与细菌耐药相关基因检测
		耐甲氧西林金黄色葡萄球菌基因检测
		乙型肝炎病毒耐药相关基因检测
		结核分支杆菌耐药相关基因检测
		其他
	染色体和遗传性疾病基因检测
		唐氏综合症和性染色体多倍体疾病检测
		脆性X综合症
		遗传性耳聋
		珠蛋白生成障碍性贫血
		β-珠蛋白生成障碍性贫血
		血高分辨染色体检查
		血姐妹染色体互换试验
		脐血染色体检查
		进行性肌营养不良基因分析
		肝豆状核变性基因分析
