class	code	description
disease	B05.3+	麻疹并发中耳炎
disease	B05.4	麻疹伴有肠道并发症
disease	B05.8	麻疹伴有其他并发症
disease	B05.9	麻疹不伴有并发症
disease	B06	风疹
disease	B06.0+	风疹伴有神经科并发症
disease	B06.8	风疹伴有其他并发症
disease	B06.9	风疹不伴有并发症
disease	B07	病毒性疣
disease	B08	其他以皮肤和粘膜损害为特征的病毒性感染，不可归类在他处者
disease	B08.0	其他正痘病毒属感染
disease	B08.1	传染性软疣
disease	B08.2	猝发疹[第六病]
disease	B08.3	传染性红斑[第五病]
disease	B08.4	肠病毒性水疱性口炎伴有疹病
disease	B08.5	肠病毒性水疱性咽炎
disease	B08.8	其他特指的以皮肤和粘膜损害为特征的病毒性感染
disease	B09	未特指的以皮肤和粘膜损害为特征的病毒性感染
disease	B15	急性甲型肝炎
disease	B15.0	甲型肝炎，伴有肝昏迷
disease	B15.9	甲型肝炎，不伴有肝昏迷
disease	B16	急性乙型肝炎
disease	B16.0	急性乙型肝炎，伴有δ因子（共同感染），并伴有肝昏迷
disease	B16.1	急性乙型肝炎，伴有δ因子（共同感染），但不伴有肝昏迷
disease	B16.2	急性乙型肝炎，不伴有δ因子（共同感染），但伴有肝昏迷
disease	B16.9	急性乙型肝炎，不伴有δ因子（共同感染），也不伴有肝昏迷
disease	B17	其他急性病毒性肝炎
disease	B17.0	慢性乙型肝炎的急性δ（超级）感染
disease	B17.1	急性丙型肝炎
disease	B17.2	急性戊型肝炎
disease	B17.8	其他特指的急性病毒性肝炎
disease	B17.9	未特指的急性病毒性肝炎
disease	B18	慢性病毒性肝炎
disease	B18.0	慢性乙型病毒性肝炎，伴有δ因子
disease	B18.1	慢性乙型病毒性肝炎，不伴有δ因子
disease	B18.2	慢性丙型病毒性肝炎
disease	B18.8	其他慢性病毒性肝炎
disease	B18.9	未特指的慢性病毒性肝炎
disease	B19	未特指的病毒性肝炎
disease	B19.0	未特指的病毒性肝炎，伴有肝昏迷
disease	B19.9	未特指的病毒性肝炎，不伴有肝昏迷
disease	B20	人类免疫缺陷病毒[HIV]病造成的传染病和寄生虫病
disease	B20.0	人类免疫缺陷病毒[HIV]病造成的分枝杆菌感染
disease	B20.1	人类免疫缺陷病毒[HIV]病造成的其他细菌感染
disease	B20.2	人类免疫缺陷病毒[HIV]病造成的巨细胞病毒病
disease	B20.3	人类免疫缺陷病毒[HIV]病造成的其他病毒感染
disease	B20.4	人类免疫缺陷病毒[HIV]病造成的念珠菌病
disease	B20.5	人类免疫缺陷病毒[HIV]病造成的其他真菌病
disease	B20.6	人类免疫缺陷病毒[HIV]病造成的耶氏肺囊虫肺炎[肺孢子虫病]
disease	B20.7	人类免疫缺陷病毒[HIV]病造成的多发性感染
disease	B20.8	人类免疫缺陷病毒[HIV]病造成的其他传染病和寄生虫病
disease	B20.9	人类免疫缺陷病毒[HIV]病造成的未特指的传染病或寄生虫病
disease	B21	人类免疫缺陷病毒[HIV]病造成的恶性肿瘤
disease	B21.0	人类免疫缺陷病毒[HIV]病造成的卡波西肉瘤
disease	B21.1	人类免疫缺陷病毒[HIV]病造成的伯基特淋巴瘤
disease	B21.2	人类免疫缺陷病毒[HIV]病造成的其他类型的非霍奇金淋巴瘤
disease	B21.3	人类免疫缺陷病毒[HIV]病造成的淋巴造血和有关组织的其他恶性肿瘤
disease	B21.7	人类免疫缺陷病毒[HIV]病造成的多发性恶性肿瘤
disease	B21.8	人类免疫缺陷病毒[HIV]病造成的其他恶性肿瘤
disease	B21.9	人类免疫缺陷病毒[HIV]病造成的未特指的恶性肿瘤
disease	B22	人类免疫缺陷病毒[HIV]病造成的其他特指的疾病
disease	B22.0	人类免疫缺陷病毒[HIV]病造成的脑病
disease	B22.1	人类免疫缺陷病毒[HIV]病造成的淋巴组织间质性肺炎
disease	B22.2	人类免疫缺陷病毒[HIV]病造成的消瘦综合征
disease	B22.7	人类免疫缺陷病毒[HIV]病造成的分类于他处的多种疾病
disease	B23	人类免疫缺陷病毒[HIV]病造成的其他情况
disease	B23.0	急性人类免疫缺陷病毒[HIV]感染综合征
disease	B23.1	人类免疫缺陷病毒[HIV]病造成的（持续的）全身性淋巴结病
disease	B23.2	人类免疫缺陷病毒[HIV]病造成的不可归类在他处的血液学和免疫学的异常
disease	B23.8	人类免疫缺陷病毒[HIV]病造成的其他特指的情况
disease	B24	未特指的人类免疫缺陷病毒[HIV]病
disease	B25	巨细胞病毒病
disease	B25.0+	巨细胞病毒性肺炎
disease	B25.1+	巨细胞病毒性肝炎
disease	B25.2+	巨细胞病毒性胰腺炎
disease	B25.8	其他巨细胞病毒病
disease	B25.9	未特指的巨细胞病毒病
disease	B26	流行性腮腺炎
disease	B26.0+	流行性腮腺炎性睾丸炎
disease	B26.1+	流行性腮腺炎性脑膜炎
disease	B26.2+	流行性腮腺炎性脑炎
disease	B26.3+	流行性腮腺炎性胰腺炎
disease	B26.8	流行性腮腺炎伴有其他并发症
disease	B26.9	流行性腮腺炎不伴有并发症
disease	B27	传染性单核细胞增多症
disease	B27.0	疱疹病毒性单核细胞增多症
disease	B27.1	巨细胞病毒性单核细胞增多症
disease	B27.8	其他传染性单核细胞增多症
disease	B27.9	未特指的传染性单核细胞增多症
disease	B30	病毒性结膜炎
disease	B30.0+	腺病毒性角膜结膜炎
disease	B30.1+	腺病毒性结膜炎
disease	B30.2	病毒性咽结膜炎
disease	B30.3+	急性流行性出血性（肠病毒性）结膜炎
disease	B30.8+	其他病毒性结膜炎
disease	B30.9	未特指的病毒性结膜炎
disease	B33	其他病毒性疾病，不可归类在他处者
disease	B33.0	流行性肌痛
disease	B33.1	罗斯河病
disease	B33.2	病毒性心炎
disease	B33.3	反转录病毒感染，不可归类在他处者
disease	B33.4+	汗坦病毒（心）-肺综合征[HPS][HCPS]
disease	B33.8	其他特指的病毒性疾病
disease	B34	未特指部位的病毒性感染
disease	B34.0	未特指部位的腺病毒感染
disease	B34.1	未特指部位的肠病毒感染
disease	B34.2	未特指部位的冠状病毒感染
disease	B34.3	未特指部位的细小病毒感染
disease	B34.4	未特指部位的乳头多瘤空泡病毒感染
disease	B34.8	其他未特指部位的病毒性感染
disease	B34.9	未特指的病毒性感染
disease	B35	皮肤癣菌病
disease	B35.0	须癣和头癣
disease	B35.1	甲癣
disease	B35.2	手癣
disease	B35.3	脚癣
disease	B35.4	体癣
disease	B35.5	叠瓦癣
disease	B35.6	腹癣[股癣]
disease	B35.8	其他皮肤癣菌病
disease	B35.9	未特指的皮肤癣菌病
disease	B36	其他浅部真菌病
disease	B36.0	花斑癣
disease	B36.1	黑癣
disease	B36.2	白癣
disease	B36.3	黑色发结节病
disease	B36.8	其他特指的浅部真菌病
disease	B36.9	未特指的浅部真菌病
disease	B37	念珠菌病
disease	B37.0	念珠菌性口炎
disease	B37.1	肺念珠菌病
disease	B37.2	皮肤和指[趾]甲念珠菌病
disease	B37.3+	外阴和阴道念珠菌病
disease	B37.4	其他泌尿生殖系部位的念珠菌病
disease	B37.5+	念珠菌性脑膜炎
disease	B37.6+	念珠菌性心内膜炎
